epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6094420552253723,9.999999747378752e-05,0.7739821672439575,0.8333333134651184,0.3882046937942505
1,0.8068669438362122,9.999999747378752e-05,0.4577782154083252,0.8733333349227905,0.3098030090332031
2,0.8540772795677185,9.999999747378752e-05,0.35097241401672363,0.8866666555404663,0.2649971544742584
3,0.8884119987487793,9.999999747378752e-05,0.29791897535324097,0.8866666555404663,0.25924286246299744
4,0.9170243144035339,9.999999747378752e-05,0.23201607167720795,0.8933333158493042,0.23592747747898102
5,0.9098712205886841,9.999999747378752e-05,0.23791879415512085,0.8999999761581421,0.22667889297008514
6,0.9213161468505859,9.999999747378752e-05,0.21505829691886902,0.8999999761581421,0.21176066994667053
7,0.9298998713493347,9.999999747378752e-05,0.20319058001041412,0.8999999761581421,0.20093999803066254
8,0.9327610731124878,9.999999747378752e-05,0.18774141371250153,0.9200000166893005,0.20725513994693756
9,0.9413447976112366,9.999999747378752e-05,0.16428540647029877,0.8999999761581421,0.1874302476644516
10,0.9442059993743896,9.999999747378752e-05,0.17233626544475555,0.9200000166893005,0.18785035610198975
11,0.9327610731124878,9.999999747378752e-05,0.1688777506351471,0.9133333563804626,0.1771155595779419
12,0.9556509256362915,9.999999747378752e-05,0.13618578016757965,0.9133333563804626,0.1720857471227646
13,0.9527897238731384,9.999999747378752e-05,0.13476736843585968,0.9133333563804626,0.16734537482261658
14,0.9585121870040894,9.999999747378752e-05,0.12612754106521606,0.9200000166893005,0.16622412204742432
15,0.9499284625053406,9.999999747378752e-05,0.14252126216888428,0.9066666960716248,0.1654028445482254
16,0.9613733887672424,9.999999747378752e-05,0.12878505885601044,0.9200000166893005,0.16170787811279297
17,0.9599427580833435,9.999999747378752e-05,0.11632737517356873,0.9133333563804626,0.16158844530582428
18,0.9513590931892395,9.999999747378752e-05,0.12962692975997925,0.9200000166893005,0.15642967820167542
19,0.9613733887672424,9.999999747378752e-05,0.10605231672525406,0.9200000166893005,0.15751652419567108
20,0.9527897238731384,9.999999747378752e-05,0.12386366724967957,0.9266666769981384,0.15239936113357544
21,0.9728183150291443,9.999999747378752e-05,0.0929354578256607,0.9266666769981384,0.15658698976039886
22,0.9656652212142944,9.999999747378752e-05,0.10872847586870193,0.9266666769981384,0.15702062845230103
23,0.9542202949523926,9.999999747378752e-05,0.10128355026245117,0.9333333373069763,0.15823891758918762
24,0.9670958518981934,4.999999873689376e-05,0.08685027807950974,0.9266666769981384,0.15833044052124023
25,0.9670958518981934,4.999999873689376e-05,0.09803053736686707,0.9266666769981384,0.15672507882118225
26,0.9728183150291443,4.999999873689376e-05,0.08938020467758179,0.9333333373069763,0.1550682932138443
